date,资产负债率
2026-03-31,0.918
2025-12-31,0.9164
2025-09-30,0.9138
2025-06-30,0.915
2025-03-31,0.9175
2024-12-31,0.9158
2024-09-30,0.9156
2024-06-30,0.918
2024-03-31,0.9173
2023-12-31,0.915
2023-09-30,0.9153
2023-06-30,0.9144
2023-03-31,0.9139
2022-12-31,0.9112
2022-09-30,0.912
2022-06-30,0.9129
2022-03-31,0.9128
2021-12-31,0.912
2021-09-30,0.9128
2021-06-30,0.9153
2021-03-31,0.9154
2020-12-31,0.9114
2020-09-30,0.9148
2020-06-30,0.9135
2020-03-31,0.9143
2019-12-31,0.9132
2019-09-30,0.9121
2019-06-30,0.9143
2019-03-31,0.9159
2018-12-31,0.9189
2018-09-30,0.9193
2018-06-30,0.9206
2018-03-31,0.9214
2017-12-31,0.919
2017-09-30,0.9196
2017-06-30,0.9213
2017-03-31,0.9192
2016-12-31,0.9181
2016-09-30,0.918
2016-06-30,0.9193
