date,资产负债率
2026-03-31,0.9408
2025-12-31,0.9378
2025-09-30,0.9373
2025-06-30,0.9373
2025-03-31,0.9437
2024-12-31,0.9396
2024-09-30,0.9383
2024-06-30,0.9387
2024-03-31,0.9382
2023-12-31,0.9392
2023-09-30,0.9402
2023-06-30,0.9411
2023-03-31,0.9393
2022-12-31,0.9413
2022-09-30,0.9395
2022-06-30,0.9373
2022-03-31,0.9365
2021-12-31,0.9368
2021-09-30,0.9363
2021-06-30,0.9386
2021-03-31,0.9372
2020-12-31,0.9407
2020-09-30,0.9409
2020-06-30,0.9415
2020-03-31,0.9397
2019-12-31,0.9467
2019-09-30,0.9494
2019-06-30,0.9509
2019-03-31,
2018-12-31,0.9501
2018-09-30,
2017-12-31,0.9521
2016-12-31,0.958
