date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-06-08,2004079707107.1,12.6180,0.4517,52.7309,14.2529,9.3312,1.2336,0.8507,1.2071,1.0315,0.7285,0.0429,0.7037,0.7702,0.7521,0.5060,0.3749
2026-06-05,1941852574648.98,12.2262,0.4357,52.9982,14.2742,9.3312,1.1953,0.7861,1.2063,1.0316,0.7285,0.0443,0.6819,0.7411,0.7524,0.5063,0.3749
2026-06-04,1949173413761.7004,12.2723,0.4367,52.9982,14.3033,9.3312,1.1998,0.7905,1.2063,1.0315,0.7285,0.0441,0.6845,0.7435,0.7524,0.5062,0.3749
2026-06-03,1985777609325.3003,12.5028,0.4476,52.9982,14.3324,9.3312,1.2224,0.8214,1.2063,1.0315,0.7285,0.0433,0.6973,0.7591,0.7524,0.5060,0.3749
2026-06-02,1951003623539.8804,12.2838,0.4373,53.0038,14.3460,9.3312,1.2010,0.7933,1.2063,1.0315,0.7285,0.0441,0.6851,0.7442,0.7525,0.5060,0.3749
2026-06-01,1980286979990.7605,12.4682,0.4451,53.0710,14.3692,9.3312,1.2190,0.8160,1.2063,1.0315,0.7285,0.0434,0.6954,0.7570,0.7551,0.5060,0.3749
2026-05-29,1989438028881.66,12.5258,0.4464,53.1382,14.4165,9.3312,1.2246,0.8252,1.2061,1.0316,0.7285,0.0432,0.6986,0.7589,0.7552,0.5063,0.3749
2026-05-28,1976626560434.4004,12.4452,0.4441,53.1382,14.4452,9.3312,1.2167,0.8120,1.2061,1.0315,0.7285,0.0435,0.6941,0.7542,0.7552,0.5062,0.3749
2026-05-27,1976626560434.4004,12.4452,0.4443,53.1382,14.4739,9.3312,1.2167,0.8123,1.2054,1.0315,0.7285,0.0435,0.6941,0.7545,0.7552,0.5060,0.3749
2026-05-26,2005909916885.2805,12.6295,0.4493,53.1382,14.5068,9.3312,1.2348,0.8564,1.2054,1.0315,0.7285,0.0429,0.7044,0.7677,0.7562,0.5060,0.3749
2026-05-25,1963815091987.1404,12.3645,0.4398,53.1987,14.5068,9.3312,1.2088,0.8045,1.2051,1.0315,0.7285,0.0438,0.6896,0.7492,0.7562,0.5060,0.3749
2026-05-22,2027872434223.4404,12.7678,0.4514,53.3397,14.6591,9.3312,1.2483,0.8887,1.2049,1.0316,0.7285,0.0424,0.7121,0.7749,0.7581,0.5063,0.3749
2026-05-21,2066306839565.22,13.0098,0.4577,53.3397,14.7573,9.3312,1.2719,0.9208,1.2049,1.0315,0.7285,0.0416,0.7256,0.7839,0.7581,0.5062,0.3749
2026-05-20,2128533972023.341,13.4016,0.4658,53.3397,14.8556,9.3312,1.3102,0.9517,1.2038,1.0315,0.7285,0.0404,0.7474,0.7917,0.7581,0.5060,0.3749
2026-05-19,2115722503576.0803,13.3209,0.4633,53.3397,14.8847,9.3312,1.3024,0.9447,1.2037,1.0315,0.7285,0.0407,0.7429,0.7908,0.7587,0.5060,0.3749
2026-05-18,2112062084019.72,13.2979,0.4620,53.3992,14.9247,9.3312,1.3001,0.9431,1.2033,1.0315,0.7285,0.0407,0.7417,0.7904,0.7589,0.5060,0.3749
2026-05-15,2106571454685.1804,13.2633,0.4613,53.5329,15.0882,9.3312,1.2967,0.9406,1.2033,1.0316,0.7285,0.0408,0.7397,0.7890,0.7597,0.5063,0.3749
2026-05-14,2058986000452.5,12.9637,0.4569,53.5329,15.0882,9.3312,1.2674,0.9192,1.2029,1.0315,0.7285,0.0418,0.7230,0.7814,0.7597,0.5062,0.3749
2026-05-13,2035193273336.16,12.8139,0.4530,53.5329,15.0882,9.3312,1.2528,0.8993,1.2025,1.0315,0.7285,0.0423,0.7147,0.7781,0.7597,0.5060,0.3749
2026-05-12,2048004741783.42,12.8946,0.4546,53.5997,15.1904,9.3312,1.2607,0.9121,1.2023,1.0315,0.7285,0.0420,0.7192,0.7793,0.7600,0.5060,0.3749
2026-05-11,2033363063557.98,12.8024,0.4521,53.6084,15.2045,9.3312,1.2517,0.8973,1.2014,1.0315,0.7285,0.0423,0.7140,0.7764,0.7600,0.5060,0.3749
2026-05-08,2035193273336.16,12.8139,0.4522,53.6084,15.2045,9.3312,1.2528,0.9002,1.2010,1.0316,0.7285,0.0423,0.7147,0.7770,0.7609,0.5063,0.3749
2026-05-07,2062646420008.8604,12.9867,0.4553,53.6084,15.2190,9.3312,1.2697,0.9212,1.2004,1.0315,0.7285,0.0417,0.7243,0.7810,0.7609,0.5062,0.3749
2026-05-06,2176119426256.0205,13.7012,0.4752,53.6084,15.2336,9.3312,1.3395,0.9649,1.2003,1.0315,0.7285,0.0395,0.7642,0.8057,0.7609,0.5060,0.3749
2026-04-30,2236516348935.9604,14.0815,0.4854,53.6756,15.2785,9.3312,1.3767,0.9786,1.2003,1.0321,0.7285,0.0385,0.7854,0.8294,0.7622,0.5064,0.3749
