date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,92380000000,1.6589,55148000000,-0.0371
2025-12-31,97499000000,1.7114,209042000000,-0.0536
2025-09-30,93837000000,1.7013,171749000000,-0.0603
2025-06-30,90497000000,1.6547,109182000000,-0.0791
2025-03-31,98093000000,1.6179,57274000000,-0.0451
2024-12-31,97582000000,1.6009,220891000000,0.0532
2024-09-30,108420000000,1.6313,182768000000,0.1492
2024-06-30,102525000000,1.6324,118554000000,0.1901
2024-03-31,92473000000,1.6533,59978000000,0.1541
2023-12-31,88892000000,1.6902,209743000000,0.0203
2023-09-30,82882000000,1.5142,159045000000,-0.047
2023-06-30,90824000000,1.5199,99618000000,-0.0255
2023-03-31,114593000000,1.5638,51968000000,0.3184
2022-12-31,110913000000,1.451,205574000000,0.39
2022-09-30,124982000000,1.6647,166892000000,0.5949
2022-06-30,102998332600,1.7082,102227000000,0.5933
2022-03-31,80205000000,1.8182,39416000000,0.6403
2021-12-31,65495000000,2.1035,147893000000,0.7962
2021-09-30,,,104642000000,
2021-06-30,,,64158931900,
2021-03-31,,,24030000000,
2020-12-31,6921682700,3.2994,82338042000,-0.3334
2019-12-31,51569115100,2.0234,123518426000,-0.0071
2018-12-31,73720957800,2.3616,124397090200,
