date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-06-08,132020965149.19,9.4838,0.0751,116.4926,21.8939,11.3455,0.0476,1.8845,0.6856,2.0703,1.5685,1.2504,0.5848,0.6126,0.6799,0.5406,0.4560
2026-06-05,131707003282.01,9.4612,0.0758,116.4926,21.8420,11.3176,0.0477,1.8800,0.6830,2.0703,1.5668,1.2504,0.5835,0.6088,0.6800,0.5408,0.4560
2026-06-04,137358316891.25,9.8672,0.0973,116.4926,21.8679,11.3262,0.0457,1.9606,0.7464,2.0703,1.5667,1.2504,0.6085,0.6672,0.6800,0.5407,0.4560
2026-06-03,143323592367.67,10.2957,0.1213,116.4926,21.8939,11.3455,0.0438,2.0458,0.7842,2.0703,1.5666,1.2504,0.6349,0.7224,0.6800,0.5406,0.4560
2026-06-02,142695668633.31,10.2506,0.1213,116.4926,21.8939,11.3455,0.0440,2.0368,0.7793,2.0703,1.5666,1.2504,0.6321,0.7170,0.6800,0.5406,0.4560
2026-06-01,153213391183.84,11.0061,0.1683,116.4926,21.8939,11.3455,0.0410,2.1870,0.8325,2.0703,1.5663,1.2504,0.6787,0.7954,0.6800,0.5406,0.4560
2026-05-29,139242088094.33,10.0025,0.1129,116.4926,21.8420,11.3176,0.0451,1.9875,0.7609,2.0681,1.5644,1.2504,0.6168,0.6847,0.6809,0.5408,0.4560
2026-05-28,126526632473.54,9.0891,0.0738,116.4926,21.8679,11.3262,0.0496,1.8060,0.6210,2.0681,1.5644,1.2504,0.5605,0.5501,0.6809,0.5407,0.4560
2026-05-27,121032299797.89,8.6944,0.0582,116.4926,21.8939,11.3455,0.0519,1.7276,0.5825,2.0681,1.5643,1.2504,0.5362,0.4884,0.6809,0.5406,0.4560
2026-05-26,117892681126.09,8.4689,0.0425,116.4926,21.8939,11.3455,0.0533,1.6828,0.5652,2.0681,1.5643,1.2504,0.5223,0.4414,0.6813,0.5408,0.4560
2026-05-25,117107776458.14,8.4125,0.0375,116.4926,21.8939,11.3455,0.0536,1.6716,0.5611,2.0681,1.5643,1.2504,0.5188,0.4278,0.6813,0.5408,0.4560
2026-05-22,114910043387.88,8.2546,0.0326,116.4926,21.8420,11.3176,0.0546,1.6402,0.5503,2.0681,1.5626,1.2504,0.5090,0.3953,0.6819,0.5411,0.4560
2026-05-21,114910043387.88,8.2546,0.0326,116.4926,21.8679,11.3262,0.0546,1.6402,0.5505,2.0681,1.5626,1.2504,0.5090,0.3955,0.6819,0.5411,0.4560
2026-05-20,117264757391.73,8.4237,0.0371,116.4926,21.8939,11.3455,0.0535,1.6738,0.5623,2.0681,1.5626,1.2504,0.5195,0.4278,0.6819,0.5412,0.4560
2026-05-19,122759090067.38,8.8184,0.0656,116.4926,21.8939,11.3455,0.0512,1.7523,0.5953,2.0681,1.5622,1.2504,0.5438,0.5062,0.6819,0.5417,0.4560
2026-05-18,117735700192.5,8.4576,0.0396,116.4926,21.8939,11.3455,0.0533,1.6806,0.5652,2.0681,1.5608,1.2504,0.5216,0.4352,0.6824,0.5417,0.4560
2026-05-15,118206642993.27,8.4914,0.0425,116.4926,21.8420,11.3176,0.0531,1.6873,0.5672,2.0681,1.5605,1.2504,0.5237,0.4427,0.6836,0.5421,0.4560
2026-05-14,118206642993.27,8.4914,0.0425,116.4926,21.8679,11.3262,0.0531,1.6873,0.5674,2.0681,1.5602,1.2504,0.5237,0.4429,0.6836,0.5422,0.4560
2026-05-13,120875318864.3,8.6831,0.0553,116.4926,21.8939,11.3455,0.0519,1.7254,0.5809,2.0681,1.5600,1.2504,0.5355,0.4839,0.6836,0.5422,0.4560
2026-05-12,119933433262.76,8.6155,0.0507,116.4926,21.8939,11.3455,0.0524,1.7119,0.5784,2.0681,1.5579,1.2504,0.5313,0.4715,0.6847,0.5422,0.4560
2026-05-11,117421738325.32,8.4350,0.0388,116.4926,21.8939,11.3455,0.0535,1.6761,0.5656,2.0681,1.5579,1.2504,0.5202,0.4295,0.6849,0.5423,0.4560
2026-05-08,113968157786.34,8.1869,0.0301,116.4926,21.8420,11.3176,0.0551,1.6268,0.5449,2.0681,1.5562,1.2504,0.5049,0.3809,0.6856,0.5427,0.4560
2026-05-07,114125138719.93,8.1982,0.0301,116.4926,21.8679,11.3262,0.0550,1.6290,0.5468,2.0681,1.5562,1.2504,0.5056,0.3839,0.6856,0.5427,0.4560
2026-05-06,112241367516.85,8.0629,0.0260,116.4926,21.8939,11.3455,0.0559,1.6021,0.5285,2.0681,1.5562,1.2504,0.4972,0.3585,0.6856,0.5427,0.4560
2026-04-30,109729672579.41,7.8825,0.0161,116.4926,21.8006,11.3009,0.0572,1.5663,0.5084,2.0681,1.5557,1.2504,0.4861,0.3222,0.6859,0.5428,0.4560
2026-04-29,110200615380.18,7.9163,0.0169,116.4926,21.8420,11.3176,0.0570,1.5730,0.5140,2.0681,1.5557,1.2504,0.4882,0.3293,0.6859,0.5428,0.4560
