date,流动比率,有息负债率,所有者权益合计,负债合计,长期负债合计,流动资产合计,流动负债合计,资产合计,速动比率,资产负债率
2026-03-31,1.0236,0.5264,110165671702,282889137031,159023846050,0,660954675,393054808733,1.002,0.7197
2025-12-31,0.8906,0.5259,108744300462,278411229513,156128177399,0,640309468,387155529975,0.8732,0.7191
2025-09-30,1.155,0.5254,108395201763,268628180846,163076190863,0,503164232,377023382609,1.1201,0.7125
2025-06-30,1.0089,0.522,106788217622,264235263861,155997181487,0,501177013,371023481483,0.9768,0.7122
2025-03-31,1.1475,0.5229,107173464024,253357608720,158084424444,0,515378324,360531072744,1.061,0.7027
2024-12-31,0.8665,0.5263,103646527228,253224899472,147198414200,0,497362606,356871426700,0.8329,0.7096
2024-09-30,1.0647,0.5308,101112367299,238961836199,146222838627,0,308613671,340074203497,0.9985,0.7027
2024-06-30,0.9401,0.5195,99858277272,231284546246,136123412107,0,292944436,331142823518,0.8667,0.6984
2024-03-31,1.2745,0.5139,99563694288,225384834335,140787583917,0,246351999,324948528623,1.1351,0.6936
2023-12-31,1.0157,0.51,95484939075,216222621829,133670428483,0,219413276,311707560904,0.9266,0.6937
2023-09-30,1.2259,0.5174,92822199284,191676500894,123289869507,0,79491190,284498700178,1.0916,0.6737
2023-06-30,1.136,0.5008,91410546540,184255898735,112749174473,0,94297942,275666445275,1.0156,0.6684
2023-03-31,1.2122,0.5027,91033489374,179912980006,109355805659,0,115813279,270946469380,1.0705,0.664
2022-12-31,0.9077,0.5004,87959290685,174167873509,99456430726,0,68516658,262127164194,0.8318,0.6644
2022-09-30,1.2058,0.4934,86546865279,167611953793,102531839559,0,161253217,254158819072,1.0751,0.6595
2022-06-30,1.1937,0.4914,84735002192,164848607719,99273310467,0,0,249583609911,1.0986,0.6605
2022-03-31,1.1541,0.4814,79888740452,160427011854,94258213782,0,1313930,240315752306,1.0882,0.6676
2021-12-31,0.9092,0.461,76595276652,140601171305,78035745511,0,2269732,217196447957,0.8674,0.6473
2021-09-30,1.4596,0.4677,73043852345,123505427311,76178992583,0,1466383,196549279656,1.3853,0.6284
2021-06-30,1.6825,0.4588,72954172453,112131190044,69095814215,0,2232264,185085362497,1.5824,0.6058
2021-03-31,0.9076,0.5726,48292184000,107397123397,60599774191,0,16907715,155689307397,0.7094,0.6898
2020-12-31,0.7045,0.4696,46395826404,96058528623,49779940445,0,3001530,142454355027,0.5058,0.6743
2020-09-30,1.1383,0.4759,44927138345,75459389903,41306068592,0,9619291,120386528247,0.7975,0.6268
2020-06-30,,,,,0,0,0,,,
2020-03-31,1.0382,0.4483,42992952914,60688360216,34037160337,0,5581917,103681313129,0.8683,0.5853
2019-12-31,0.7629,0.4427,41695528201,58354515215,29611982476,0,0,100050043416,0.667,0.5833
2018-12-31,1.2358,0.3615,43179207360,41907584962,23727121784,0,0,85086792322,1.0983,0.4925
2017-12-31,0.8153,0.4505,27587371020,40454886445,22161505616,0,0,68042257465,0.6874,0.5946
