date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.177,-0.2776,4358918000,234997667000
2025-12-31,0.848,-0.2184,22891703000,1090626001000
2025-09-30,0.642,-0.1811,17490155000,773813650000
2025-06-30,0.412,-0.2256,11826602000,511093310000
2025-03-31,0.245,-0.1522,6025119000,248564203000
2024-12-31,1.085,-0.1615,27886745000,1157439041000
2024-09-30,0.784,-0.1413,20569710000,818479344000
2024-06-30,0.532,-0.1207,14278136000,543285341000
2024-03-31,0.289,-0.0525,7481215000,265011337000
2023-12-31,1.294,0.0801,33482775000,1260841083000
2023-09-30,0.913,0.0482,24011700000,882917582000
2023-06-30,0.605,0.098,16239379000,589472454000
2023-03-31,0.305,0.0374,7878535000,271973839000
2022-12-31,1.198,0.1553,31275812000,1151501114000
2022-09-30,0.871,0.1915,23016392000,848184880000
2022-06-30,0.551,0.2137,15125951000,559404514000
2022-03-31,0.294,0.2353,7587168000,266537038000
2021-12-31,1.037,0.0768,27617610000,1070417452000
2021-09-30,0.731,0.0594,20646544000,767925918000
2021-06-30,0.454,0.0682,13096113000,496605714000
2021-03-31,0.238,0.803,6485448000,236241102000
2020-12-31,0.963,0.0137,25187793000,971404889000
2020-09-30,0.69,0.1256,18260162000,686531014000
2020-06-30,0.425,0.0652,11697266000,414929889000
2020-03-31,0.132,-0.12,3585324000,156348355000
2019-12-31,0.95,0.3231,23677567000,848440346000
2019-09-30,0.613,0.0907,15477531000,570180531000
2019-06-30,0.399,0.0127,10513691000,360820997000
2019-03-31,0.15,0.145,3843742000,159734111000
2018-12-31,0.718,0.0732,17198138000,737713851000
2018-09-30,0.562,0.2434,13044817000,493425418000
2018-06-30,0.394,0.271,9552401000,314497727000
2018-03-31,0.131,0.2243,3197426000,147572329000
2017-12-31,0.669,0.294,16066833000,689944860000
2017-09-30,0.452,0.159,11035798000,470276759000
2017-06-30,0.31,0.3839,7707374000,298750784000
2017-03-31,0.107,0.07,2622583000,133992358000
2016-12-31,0.517,-0.0245,12509165000,639406523000
2016-09-30,0.39,0.1337,9245403000,441755675000
2016-06-30,0.224,0.0419,5462613000,271722117000
