date,归属于母公司普通股股东的净利润,累积同比,营业收入,基本每股收益
2026-03-31,4102517975,-0.2495,155945916995,0.24
2025-12-31,14751374779,-0.3692,731108751343,0.85
2025-09-30,13647200928,-0.1614,513915419913,0.79
2025-06-30,9568353540,-0.1606,337054630510,0.56
2025-03-31,5466739127,-0.1098,154643895485,0.32
2024-12-31,23384093178,-0.0181,771944258710,1.37
2024-09-30,16274469983,-0.0061,536636414787,0.94
2024-06-30,11398775107,-0.0059,357447650673,0.66
2024-03-31,6140683103,0.1,176904193700,0.36
2023-12-31,23811610826,0.2361,758676426548,1.39
2023-09-30,16245973102,0.0259,547701527039,0.94
2023-06-30,11402864343,0.027,365788257395,0.66
2023-03-31,5582367706,0.096,176591274385,0.32
2022-12-31,19103845044,0.0616,720274539115,1.09
2022-09-30,15815227211,0.0568,541979037323,0.91
2022-06-30,11082567007,0.1343,363923800270,0.64
2022-03-31,5093589966,0.1774,172095326154,0.29
2021-12-31,17993085059,0.1103,685638999783,1.02
2021-09-30,14964824087,0.4858,516216641112,0.86
2021-06-30,9770656438,0.9075,340627261025,0.56
2021-03-31,4326019228,0.8529,151927555778,0.25
2020-12-31,16206010966,-0.1902,627586194472,0.9
2020-09-30,10071759790,-0.2475,409735527204,0.55
2020-06-30,5122142644,-0.4045,246448164511,0.25
2020-03-31,2341387063,-0.4043,95443267619,0.13
2019-12-31,20107557825,0.0217,554792365252,1.16
2019-09-30,13340895483,0.0373,374688576050,0.76
2019-06-30,8576980022,0.0492,240272497282,0.47
2019-03-31,3930336095,0.1445,102245102038,0.24
2018-12-31,19680415776,-0.0437,490872128295,1.15
2018-09-30,12861357593,0.0966,328547167715,0.74
2018-06-30,8175064157,0.0845,208378986328,0.45
2018-03-31,3434164021,0.0935,93253359275,0.21
2017-12-31,20580777960,0.2292,482804341572,1.21
2017-09-30,11728553258,0.0404,307297125510,0.67
2017-06-30,7538278041,0.0734,190101481134,0.41
2017-03-31,3140634804,0.3622,82698843326,0.19
2016-12-31,16743074198,0.0667,431743429819,0.97
2016-09-30,11273640654,0.121,291222767046,0.64
2016-06-30,7023019517,0.0766,183439285237,0.38
