date,速动比率,有息负债率,资产合计,长期负债合计,流动资产合计,负债合计,所有者权益合计,流动负债合计,资产负债率,流动比率
2026-03-31,2.7223,0.2722,71178546314,0,0,25989368993,45189177321,64315793,0.3651,2.7312
2025-12-31,2.4491,0.2727,71678547662,0,0,27139427654,44539120008,46949795,0.3786,2.4555
2025-09-30,2.2571,0.2553,69678818106,0,0,25678150852,44000667254,57452185,0.3685,2.2646
2025-06-30,2.1906,0.2552,69833146752,0,0,26001909883,43831236868,59335445,0.3723,2.1975
2025-03-31,2.4276,0.2624,68742488915,0,0,24616455183,44126033732,61973349,0.3581,2.4365
2024-12-31,2.0976,0.2702,70046212107,0,0,26516115116,43530096991,53156331,0.3786,2.104
2024-09-30,1.9733,0.2766,68953537205,0,0,26374336882,42579200322,60128051,0.3825,1.9816
2024-06-30,2.017,0.283,68848912107,0,0,26162135423,42686776684,63274378,0.38,2.0239
2024-03-31,1.8136,0.2855,70610669970,0,0,28123346573,42487323397,65052427,0.3983,1.8204
2023-12-31,1.8299,0.2909,69480530980,0,0,27453959185,42026571794,55583980,0.3951,1.8365
2023-09-30,1.7376,0.2909,68905312107,0,0,27357698946,41547613162,64835576,0.397,1.7455
2023-06-30,1.6953,0.3,68510867652,0,0,27398120278,41112747374,72178250,0.3999,1.7023
2023-03-31,1.5271,0.2972,70499953253,0,0,29479819284,41020133969,70116738,0.4182,1.533
2022-12-31,1.8421,0.2995,67775098796,0,0,27071610968,40703487828,62447077,0.3994,1.8498
2022-09-30,1.9619,0.296,68794427821,0,0,27192043242,41602384580,10573479,0.3953,1.9697
2022-06-30,1.3071,0.3356,50678507128,0,0,24211791790,26466715337,9490853,0.4778,1.3107
2022-03-31,1.5305,0.3417,48999816262,0,0,21784833490,27214982772,15447957,0.4446,1.5359
2021-12-31,1.451,0.3201,51426088634,0,0,23720153085,27705935549,4866626,0.4612,1.455
2021-09-30,1.733,0.319,51785922652,0,0,23637947087,28147975565,9519312,0.4565,1.7381
2021-06-30,1.7781,0.3182,52270504431,0,0,23635348859,28635155572,7869127,0.4522,1.7816
2021-03-31,1.8391,0.3177,52787084232,0,0,23648831702,29138252529,8968545,0.448,1.843
2020-12-31,2.7074,0,33202181016,0,0,3643284563,29558896453,1805475,0.1097,2.7139
2020-09-30,2.5316,0,34561372111,0,0,4525685377,30035686735,129982539,0.1309,2.5359
2020-06-30,2.2528,0,36007924881,0,0,5421059634,30586865247,15347843,0.1506,2.2558
2020-03-31,3.1321,0,36322254280,0,0,3758162250,32564092031,63179733,0.1035,3.1358
2019-12-31,2.6411,0,37171229056,0,0,4721504328,32449724727,0,0.127,2.6443
2019-09-30,2.358,0,36368930010,0,0,5023242308,31345687702,0,0.1381,2.3627
2019-06-30,3.5294,0,33472597323,0,0,3302172905,30170424417,0,0.0987,3.5384
2019-03-31,5.1149,0,32210815523,0,0,2136054998,30074760525,0,0.0663,5.1268
2018-12-31,4.6345,0,30928729157,0,0,2294221760,28634507397,0,0.0742,4.6515
2018-09-30,4.4935,-0.0014,29871081136,0,0,2234443731,27636637405,0,0.0748,4.5096
2018-06-30,3.2885,0,29548831220,0,0,3083682015,26465149205,0,0.1044,3.2983
2018-03-31,5.2948,0,28355642982,0,0,1816163964,26539479018,0,0.064,5.3215
2017-12-31,4.8723,0,27547399507,0,0,2066626537,25480772970,0,0.075,4.8977
2017-09-30,4.6158,0,26688778901,0,0,2097459601,24591319300,0,0.0786,4.6264
2017-06-30,2.3534,0.0862,28985821841,0,0,5432384085,23553437757,0,0.1874,2.3575
2017-03-31,2.6991,0.0903,27661242183,0,0,4207724278,23453517905,0,0.1521,2.7049
2016-12-31,2.5939,0.0927,26943645294,0,0,4319493266,22624152028,0,0.1603,2.5998
2016-09-30,6.2129,0.0946,26392007740,0,0,4308248628,22083759112,0,0.1632,6.2297
2016-06-30,4.363,0.0945,26442548877,0,0,5095139429,21347409449,0,0.1927,4.373
