date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-06-08,82042694576.94,17.5398,0.0070,45.7167,35.9832,22.9023,0.0391,2.5290,0.0961,5.3984,3.4572,2.6946,2.5390,0.3861,4.1281,2.8547,1.8665
2026-06-05,81442448723.7,17.4114,0.0049,45.7167,35.9803,22.9058,0.0394,2.5105,0.0882,5.3984,3.4569,2.6939,2.5204,0.3817,4.1281,2.8540,1.8567
2026-06-04,81074116041.03,17.3327,0.0037,45.7167,35.9818,22.9106,0.0395,2.4991,0.0833,5.3984,3.4571,2.6946,2.5090,0.3765,4.1281,2.8544,1.8567
2026-06-03,81606152138.22,17.4464,0.0045,45.7167,35.9832,22.9179,0.0393,2.5155,0.0903,5.3984,3.4572,2.6946,2.5255,0.3841,4.1281,2.8547,1.8567
2026-06-02,83229544332.21,17.7935,0.0095,45.7167,35.9832,22.9191,0.0385,2.5655,0.1143,5.3984,3.4572,2.6946,2.5757,0.3960,4.1281,2.8547,1.8534
2026-06-01,83857074087.87,17.9276,0.0120,45.7167,35.9832,22.9228,0.0382,2.5849,0.1246,5.3984,3.4572,2.6946,2.5951,0.4080,4.1281,2.8547,1.8519
2026-05-29,83406889697.94,17.8314,0.0095,45.7167,35.9803,22.9228,0.0384,2.5710,0.1175,5.3984,3.4569,2.6939,2.5812,0.3994,4.1281,2.8540,1.8478
2026-05-28,81715287747.9,17.4698,0.0045,45.7167,35.9818,22.9336,0.0392,2.5189,0.0932,5.3984,3.4571,2.6946,2.5289,0.3868,4.1281,2.8544,1.8478
2026-05-27,82670224332.6,17.6739,0.0066,45.7167,35.9832,22.9350,0.0388,2.5483,0.1044,5.3984,3.4572,2.6946,2.5584,0.3923,4.1281,2.8547,1.8478
2026-05-26,82438311162.03,17.6243,0.0062,45.7167,35.9832,22.9350,0.0389,2.5412,0.1023,5.3984,3.4572,2.6946,2.5512,0.3915,4.1281,2.8547,1.8427
2026-05-25,82206397991.46,17.5747,0.0054,45.7167,35.9832,22.9350,0.0390,2.5340,0.1011,5.3984,3.4572,2.6946,2.5441,0.3899,4.1281,2.8547,1.8427
2026-05-22,82983989210.43,17.7410,0.0066,45.7167,35.9803,22.9228,0.0386,2.5580,0.1109,5.3984,3.4569,2.6939,2.5681,0.3945,4.1281,2.8540,1.8384
2026-05-21,83502383356.41,17.8518,0.0074,45.7167,35.9818,22.9336,0.0384,2.5740,0.1184,5.3984,3.4571,2.6946,2.5842,0.4012,4.1281,2.8544,1.8384
2026-05-20,84320900429.01,18.0268,0.0107,45.7167,35.9832,22.9350,0.0380,2.5992,0.1349,5.3984,3.4572,2.6946,2.6095,0.4208,4.1281,2.8547,1.8384
2026-05-19,84157197014.49,17.9918,0.0095,45.7167,35.9832,22.9350,0.0381,2.5941,0.1328,5.3984,3.4572,2.6946,2.6044,0.4150,4.1281,2.8547,1.8381
2026-05-18,84170838965.7,17.9947,0.0095,45.7167,35.9832,22.9350,0.0381,2.5946,0.1333,5.3984,3.4572,2.6946,2.6049,0.4158,4.1281,2.8547,1.8325
2026-05-15,84252690672.96,18.0122,0.0095,45.7167,35.9803,22.9491,0.0381,2.5971,0.1356,5.3984,3.4569,2.6939,2.6074,0.4192,4.1281,2.8540,1.8236
2026-05-14,84784726770.15,18.1260,0.0136,45.7167,35.9818,22.9884,0.0378,2.6135,0.1410,5.3984,3.4571,2.6946,2.6239,0.4309,4.1281,2.8544,1.8236
2026-05-13,84784726770.15,18.1260,0.0136,45.7167,35.9832,23.0030,0.0378,2.6135,0.1411,5.3984,3.4572,2.6946,2.6239,0.4311,4.1281,2.8547,1.8236
2026-05-12,85616885793.96,18.3039,0.0248,45.7167,35.9832,23.0085,0.0374,2.6391,0.1568,5.3984,3.4572,2.6946,2.6496,0.4410,4.1281,2.8547,1.8228
2026-05-11,85644169696.38,18.3097,0.0248,45.7167,35.9832,23.0155,0.0374,2.6400,0.1580,5.3984,3.4572,2.6946,2.6504,0.4414,4.1281,2.8547,1.8203
2026-05-08,85207627257.66,18.2164,0.0173,45.7167,35.9803,23.0155,0.0376,2.6265,0.1521,5.3984,3.4569,2.6939,2.6369,0.4365,4.1281,2.8540,1.8160
2026-05-07,85193985306.45,18.2135,0.0169,45.7167,35.9818,23.0163,0.0376,2.6261,0.1518,5.3984,3.4571,2.6946,2.6365,0.4359,4.1281,2.8544,1.8160
2026-05-06,85794231159.69,18.3418,0.0272,45.7167,35.9832,23.0438,0.0374,2.6446,0.1605,5.3984,3.4572,2.6946,2.6551,0.4431,4.1281,2.8547,1.8160
2026-04-30,86503612622.61,18.4934,0.0396,45.7167,35.9660,23.0438,0.0371,2.6665,0.1776,5.3984,3.4569,2.6933,2.6770,0.4512,4.1281,2.8540,1.8106
2026-04-29,86230773598.41,18.4351,0.0363,45.7167,35.9803,23.0462,0.0372,2.6581,0.1715,5.3984,3.4569,2.6939,2.6686,0.4477,4.1281,2.8540,1.8106
2026-04-28,86148921891.15,18.4176,0.0334,45.7167,35.9803,23.0462,0.0372,2.6555,0.1698,5.3984,3.4569,2.6939,2.6661,0.4472,4.1281,2.8540,1.8077
2026-04-27,84443677989.9,18.4049,0.0309,45.7167,35.9803,23.0462,0.0380,2.7552,0.2432,5.3984,3.4569,2.6939,2.6004,0.4171,4.1281,2.8540,1.8041
2026-04-24,84143555063.28,18.3395,0.0259,45.7106,35.9516,23.0438,0.0381,2.7454,0.2381,5.3975,3.4569,2.6933,2.5911,0.4114,4.1270,2.8539,1.7996
2026-04-23,84566455550.79,18.4317,0.0338,45.7167,35.9660,23.0438,0.0379,2.7592,0.2472,5.3984,3.4569,2.6932,2.6042,0.4207,4.1281,2.8540,1.7994
2026-04-22,84389110185.06,18.3930,0.0297,45.7167,35.9803,23.0462,0.0380,2.7534,0.2432,5.3984,3.4569,2.6932,2.5987,0.4163,4.1281,2.8540,1.7994
2026-04-21,84607381404.42,18.4406,0.0346,45.7167,35.9803,23.0462,0.0379,2.7605,0.2477,5.3984,3.4569,2.6929,2.6054,0.4213,4.1281,2.8540,1.7986
2026-04-20,84457319941.11,18.4079,0.0305,45.7167,35.9803,23.0462,0.0380,2.7556,0.2444,5.3984,3.4569,2.6929,2.6008,0.4184,4.1281,2.8540,1.7984
2026-04-17,84511887745.95,18.4198,0.0317,45.7106,35.9516,23.0438,0.0379,2.7574,0.2471,5.3975,3.4569,2.6914,2.6025,0.4201,4.1270,2.8539,1.7953
2026-04-16,84661949209.26,18.4525,0.0342,45.7167,35.9660,23.0438,0.0379,2.7623,0.2489,5.3984,3.4569,2.6911,2.6071,0.4227,4.1281,2.8540,1.7943
2026-04-15,84580097502.0,18.4347,0.0326,45.7167,35.9803,23.0462,0.0379,2.7596,0.2481,5.3984,3.4569,2.6911,2.6046,0.4217,4.1281,2.8540,1.7943
2026-04-14,84470961892.32,18.4109,0.0309,45.7167,35.9803,23.0462,0.0380,2.7561,0.2461,5.3984,3.4569,2.6908,2.6012,0.4200,4.1281,2.8540,1.7933
2026-04-13,84934788233.46,18.5120,0.0346,45.7167,35.9803,23.0462,0.0377,2.7712,0.2543,5.3984,3.4569,2.6902,2.6155,0.4299,4.1281,2.8540,1.7927
2026-04-10,85098491647.98,18.5476,0.0354,45.7106,35.9516,23.0438,0.0377,2.7766,0.2562,5.3975,3.4569,2.6885,2.6206,0.4325,4.1270,2.8539,1.7914
2026-04-09,85316762867.34,18.5952,0.0375,45.7167,35.9660,23.0438,0.0376,2.7837,0.2604,5.3984,3.4569,2.6868,2.6273,0.4376,4.1281,2.8540,1.7887
2026-04-08,86558180427.45,18.8658,0.0433,45.7167,35.9803,23.0462,0.0370,2.8242,0.2708,5.3984,3.4569,2.6868,2.6655,0.4472,4.1281,2.8540,1.7887
2026-04-07,85957934574.21,18.7350,0.0404,45.7167,35.9803,23.0462,0.0373,2.8046,0.2663,5.3984,3.4569,2.6868,2.6470,0.4427,4.1281,2.8540,1.7886
2026-04-03,86094354086.31,18.7647,0.0412,45.7106,35.9516,23.0438,0.0372,2.8090,0.2685,5.3975,3.4569,2.6861,2.6512,0.4448,4.1270,2.8539,1.7877
2026-04-02,87294845792.79,19.0264,0.0457,45.7167,35.9660,23.0438,0.0367,2.8482,0.2781,5.3984,3.4569,2.6860,2.6882,0.4536,4.1281,2.8540,1.7872
2026-04-01,86353551159.3,18.8212,0.0420,45.7167,35.9803,23.0462,0.0371,2.8175,0.2696,5.3984,3.4569,2.6860,2.6592,0.4468,4.1281,2.8540,1.7872
2026-03-31,84389110185.06,18.3930,0.0297,45.7167,35.9803,23.0462,0.0380,2.7534,0.2494,5.3984,3.4569,2.6853,2.5987,0.4225,4.1281,2.8540,1.7861
2026-03-30,84825652623.78,18.4882,0.0338,45.7167,35.9803,23.0462,0.0378,2.7677,0.2556,5.3984,3.4569,2.6853,2.6122,0.4303,4.1281,2.8540,1.7847
2026-03-27,85221269208.87,18.5744,0.0350,45.7106,35.9516,23.0462,0.0376,2.7806,0.2615,5.3975,3.4569,2.6841,2.6243,0.4382,4.1270,2.8539,1.7815
