date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-06-08,83671568293.95,4.2076,0.0540,6.7731,5.1586,4.3995,1.4001,0.1461,1.7553,1.5364,1.4238,15.9097,0.1469,20.8416,17.8764,16.1469,0.0600
2026-06-05,85785011633.88,4.3139,0.1149,6.7731,5.1617,4.3996,1.4354,0.2393,1.7553,1.5364,1.4239,16.3116,0.2310,20.8416,17.8736,16.1500,0.0586
2026-06-04,84295207312.29,4.2390,0.0660,6.7731,5.1618,4.4000,1.4105,0.1647,1.7553,1.5364,1.4239,16.0283,0.1755,20.8416,17.8763,16.1500,0.0596
2026-06-03,85334605676.19,4.2912,0.0951,6.7731,5.1629,4.4004,1.4279,0.2134,1.7553,1.5366,1.4239,16.2259,0.2130,20.8416,17.8764,16.1534,0.0589
2026-06-02,86374004040.09,4.3435,0.1386,6.7731,5.1651,4.4006,1.4453,0.2653,1.7553,1.5366,1.4239,16.4235,0.2478,20.8416,17.8764,16.1534,0.0582
2026-06-01,86720470161.39,4.3609,0.1586,6.7731,5.1651,4.4008,1.4511,0.2844,1.7553,1.5366,1.4239,16.4894,0.2594,20.8416,17.8764,16.1500,0.0579
2026-05-29,86685823549.26,4.3592,0.1564,6.7731,5.1629,4.4019,1.4505,0.2808,1.7553,1.5364,1.4239,16.4828,0.2601,20.8416,17.8736,16.1453,0.0580
2026-05-28,85646425185.36,4.3069,0.1091,6.7731,5.1641,4.4023,1.4331,0.2299,1.7553,1.5364,1.4239,16.2852,0.2278,20.8416,17.8763,16.1453,0.0587
2026-05-27,85507838736.84,4.2999,0.1009,6.7731,5.1651,4.4029,1.4308,0.2225,1.7553,1.5366,1.4239,16.2588,0.2242,20.8416,17.8764,16.1453,0.0588
2026-05-26,84953492942.76,4.2721,0.0863,6.7731,5.1651,4.4029,1.4215,0.1926,1.7553,1.5366,1.4239,16.1534,0.2022,20.8416,17.8764,16.1401,0.0591
2026-05-25,89422905907.53,4.4968,0.2723,6.7731,5.1651,4.4031,1.4963,0.4031,1.7553,1.5366,1.4241,17.0033,0.3391,20.8416,17.8764,16.1320,0.0562
2026-05-22,89145733010.49,4.4829,0.2625,6.7731,5.1629,4.4031,1.4917,0.3911,1.7553,1.5364,1.4241,16.9506,0.3331,20.8416,17.8736,16.1267,0.0564
2026-05-21,89665432192.44,4.5090,0.2763,6.7731,5.1641,4.4031,1.5004,0.4108,1.7553,1.5364,1.4241,17.0494,0.3477,20.8416,17.8763,16.1267,0.0560
2026-05-20,91051296677.64,4.5787,0.3192,6.7731,5.1651,4.4031,1.5235,0.4674,1.7553,1.5366,1.4241,17.3129,0.3919,20.8416,17.8764,16.1267,0.0552
2026-05-19,91051296677.64,4.5787,0.3192,6.7731,5.1651,4.4031,1.5235,0.4678,1.7553,1.5366,1.4241,17.3129,0.3923,20.8416,17.8764,16.1263,0.0552
2026-05-18,91189883126.16,4.5857,0.3246,6.7731,5.1651,4.4031,1.5259,0.4720,1.7553,1.5366,1.4241,17.3393,0.4006,20.8416,17.8764,16.1257,0.0551
2026-05-15,92090695041.54,4.6310,0.3447,6.7731,5.1651,4.4031,1.5409,0.5085,1.7553,1.5364,1.4241,17.5105,0.4318,20.8416,17.8736,16.1251,0.0546
2026-05-14,92887567120.53,4.6711,0.3631,6.7731,5.1661,4.4031,1.5543,0.5386,1.7553,1.5364,1.4241,17.6621,0.4577,20.8416,17.8763,16.1251,0.0541
2026-05-13,92090695041.54,4.6310,0.3450,6.7731,5.1663,4.4031,1.5409,0.5089,1.7553,1.5364,1.4241,17.5105,0.4321,20.8416,17.8764,16.1251,0.0546
2026-05-12,93026153569.05,4.6780,0.3649,6.7731,5.1663,4.4031,1.5566,0.5455,1.7553,1.5364,1.4241,17.6884,0.4645,20.8416,17.8764,16.1195,0.0540
2026-05-11,94065551932.95,4.7303,0.3873,6.7731,5.1663,4.4031,1.5740,0.5861,1.7553,1.5363,1.4241,17.8861,0.5035,20.8416,17.8764,16.1195,0.0534
2026-05-08,93164740017.57,4.6850,0.3687,6.7731,5.1651,4.4031,1.5589,0.5508,1.7553,1.5362,1.4239,17.7148,0.4720,20.8416,17.8709,16.1186,0.0539
2026-05-07,94308078217.86,4.7425,0.3905,6.7731,5.1661,4.4031,1.5780,0.5946,1.7553,1.5362,1.4239,17.9322,0.5124,20.8416,17.8709,16.1186,0.0533
2026-05-06,96005762212.23,4.8279,0.4060,6.7731,5.1663,4.4031,1.6064,0.6434,1.7553,1.5361,1.4239,18.2550,0.5583,20.8416,17.8709,16.1186,0.0523
2026-04-30,96075055436.49,4.8313,0.4055,6.7731,5.1661,4.4031,1.6076,0.6455,1.7553,1.5358,1.4239,18.2681,0.5626,20.8416,17.8646,16.1098,0.0523
2026-04-29,95693942703.06,4.8122,0.4032,6.7731,5.1663,4.4031,1.6012,0.6358,1.7553,1.5357,1.4239,18.1957,0.5533,20.8416,17.8641,16.1098,0.0525
2026-04-28,100821641298.3,4.7196,0.3828,6.7731,5.1663,4.4031,1.6956,0.7594,1.7553,1.5354,1.4239,19.7511,0.7225,20.8416,17.8626,16.1067,0.0498
2026-04-27,99747596322.27,4.6693,0.3613,6.7731,5.1669,4.4031,1.6776,0.7416,1.7553,1.5350,1.4239,19.5407,0.7047,20.8416,17.8605,16.1067,0.0504
2026-04-24,101168107419.6,4.7358,0.3883,6.7720,5.1663,4.4029,1.7015,0.7634,1.7543,1.5354,1.4239,19.8190,0.7290,20.8351,17.8553,16.1067,0.0497
2026-04-23,100544468401.26,4.7066,0.3798,6.7731,5.1665,4.4029,1.6910,0.7566,1.7553,1.5352,1.4239,19.6968,0.7177,20.8416,17.8543,16.1067,0.0500
2026-04-22,100232648892.09,4.6920,0.3725,6.7731,5.1669,4.4029,1.6857,0.7516,1.7553,1.5350,1.4239,19.6357,0.7126,20.8416,17.8533,16.1067,0.0501
2026-04-21,100267295504.22,4.6936,0.3733,6.7731,5.1669,4.4023,1.6863,0.7520,1.7553,1.5350,1.4239,19.6425,0.7142,20.8416,17.8509,16.1067,0.0501
2026-04-20,98119205552.16,4.5931,0.3302,6.7731,5.1669,4.4019,1.6502,0.7080,1.7553,1.5347,1.4239,19.2217,0.6698,20.8416,17.8492,16.1004,0.0512
2026-04-17,98396378449.2,4.6060,0.3365,6.7720,5.1663,4.4006,1.6548,0.7136,1.7543,1.5347,1.4239,19.2760,0.6747,20.8351,17.8478,16.0967,0.0511
2026-04-16,99470423425.23,4.6563,0.3553,6.7731,5.1665,4.4004,1.6729,0.7371,1.7553,1.5347,1.4239,19.4864,0.7011,20.8416,17.8469,16.0967,0.0505
2026-04-15,99678303098.01,4.6660,0.3604,6.7731,5.1669,4.4004,1.6764,0.7416,1.7553,1.5344,1.4239,19.5271,0.7063,20.8416,17.8460,16.0967,0.0504
2026-04-14,98431025061.33,4.6076,0.3384,6.7731,5.1669,4.4000,1.6554,0.7159,1.7553,1.5341,1.4239,19.2828,0.6761,20.8416,17.8437,16.0966,0.0510
2026-04-13,98777491182.63,4.6239,0.3447,6.7731,5.1669,4.3996,1.6613,0.7238,1.7553,1.5341,1.4239,19.3506,0.6869,20.8416,17.8409,16.0941,0.0509
2026-04-10,96802634291.22,4.5314,0.2967,6.7720,5.1663,4.3991,1.6280,0.6772,1.7543,1.5336,1.4239,18.9638,0.6419,20.8351,17.8331,16.0940,0.0519
2026-04-09,96005762212.23,4.4941,0.2740,6.7731,5.1665,4.3989,1.6146,0.6584,1.7553,1.5335,1.4239,18.8077,0.6269,20.8416,17.8310,16.0917,0.0523
2026-04-08,96213641885.01,4.5039,0.2787,6.7731,5.1669,4.3989,1.6181,0.6624,1.7553,1.5335,1.4239,18.8484,0.6317,20.8416,17.8309,16.0917,0.0522
2026-04-07,95347476581.76,4.4633,0.2538,6.7731,5.1669,4.3984,1.6036,0.6450,1.7553,1.5333,1.4239,18.6787,0.6176,20.8416,17.8297,16.0892,0.0527
2026-04-03,96698694454.83,4.5266,0.2955,6.7720,5.1663,4.3976,1.6263,0.6734,1.7543,1.5333,1.4239,18.9434,0.6403,20.8351,17.8280,16.0892,0.0520
2026-04-02,99262543752.45,4.6466,0.3520,6.7731,5.1665,4.3976,1.6694,0.7322,1.7553,1.5332,1.4239,19.4457,0.6973,20.8416,17.8280,16.0891,0.0506
2026-04-01,97356980085.3,4.5574,0.3111,6.7731,5.1669,4.3976,1.6374,0.6931,1.7553,1.5328,1.4239,19.0724,0.6553,20.8416,17.8261,16.0891,0.0516
2026-03-31,98396378449.2,4.6060,0.3384,6.7731,5.1669,4.3974,1.6548,0.7159,1.7553,1.5328,1.4239,19.2760,0.6769,20.8416,17.8240,16.0891,0.0511
2026-03-30,98465671673.46,4.6093,0.3405,6.7731,5.1669,4.3961,1.6560,0.7180,1.7553,1.5328,1.4239,19.2896,0.6781,20.8416,17.8212,16.0891,0.0510
2026-03-27,96802634291.22,4.5314,0.2988,6.7720,5.1663,4.3958,1.6280,0.6792,1.7543,1.5328,1.4239,18.9638,0.6440,20.8351,17.8166,16.0892,0.0519
2026-03-26,95451416418.15,4.4682,0.2616,6.7731,5.1665,4.3956,1.6053,0.6497,1.7553,1.5324,1.4239,18.6991,0.6219,20.8416,17.8166,16.0891,0.0526
2026-03-25,94481311278.51,4.4228,0.2294,6.7731,5.1669,4.3956,1.5890,0.6255,1.7553,1.5323,1.4239,18.5090,0.6039,20.8416,17.8154,16.0891,0.0532
2026-03-24,95693942703.06,4.7312,0.3870,6.7731,5.1669,4.3955,1.5881,0.6246,1.7553,1.5323,1.4239,18.6056,0.6130,20.8416,17.8132,16.0891,0.0507
2026-03-23,94377371442.12,4.6661,0.3613,6.7731,5.1669,4.3945,1.5663,0.5769,1.7553,1.5323,1.4239,18.3496,0.5865,20.8416,17.8104,16.0891,0.0514
2026-03-20,98049912327.9,4.8477,0.4082,6.7720,5.1663,4.3941,1.6272,0.6784,1.7543,1.5320,1.4239,19.0637,0.6548,20.8351,17.8066,16.0892,0.0495
2026-03-19,98500318285.59,4.8700,0.4150,6.7731,5.1665,4.3927,1.6347,0.6915,1.7553,1.5319,1.4239,19.1513,0.6679,20.8416,17.8066,16.0891,0.0492
2026-03-18,98777491182.63,4.8837,0.4193,6.7731,5.1669,4.3927,1.6393,0.6968,1.7553,1.5319,1.4239,19.2052,0.6719,20.8416,17.8066,16.0891,0.0491
2026-03-17,98465671673.46,4.8683,0.4144,6.7731,5.1669,4.3923,1.6341,0.6910,1.7553,1.5315,1.4239,19.1445,0.6669,20.8416,17.8060,16.0891,0.0493
2026-03-16,98742844570.5,4.8820,0.4189,6.7731,5.1669,4.3917,1.6387,0.6960,1.7553,1.5312,1.4239,19.1984,0.6715,20.8416,17.8015,16.0891,0.0491
2026-03-13,96767987679.09,4.7843,0.4007,6.7720,5.1663,4.3904,1.6060,0.6531,1.7543,1.5310,1.4239,18.8145,0.6341,20.8351,17.7943,16.0892,0.0501
