date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,1.415,6939848224,1003388713,0.2004
2025-12-31,1.4249,6586456574,7352441262,-0.1263
2025-09-30,1.4421,6608183639,5995465900,-0.1327
2025-06-30,1.5276,6727178383,2914204685,-0.1854
2025-03-31,1.5866,6662585933,835901146,-0.422
2024-12-31,1.6649,7075652545,8415760882,1.4842
2024-09-30,1.7152,6475697364,6912997808,1.8203
2024-06-30,1.45,4998916965,3577589221,9.1692
2024-03-31,0.9911,2896134155,1446221594,261.3357
2023-12-31,0.664,998313340,3387718636,-0.5522
2023-09-30,1.0011,3276223883,2451145083,-0.3926
2023-06-30,1.0934,3169050315,351807185,-0.7732
2023-03-31,1.3551,4219444880,-5555218,0.9756
2022-12-31,1.3233,4181495626,7565466115,0.2538
2022-09-30,1.4535,3990729252,4035345671,1.0037
2022-06-30,1.2379,1925284910,1551453142,0.2168
2022-03-31,0.8971,98760614,-228133419,-1.1625
2021-12-31,1.2356,2115262491,6034052783,-0.316
2021-09-30,0.984,1714780747,2013953012,-0.6706
2021-06-30,1.433,6300400649,1275059450,-0.2792
2021-03-31,1.338,7003089973,1403883284,-0.2136
2020-12-31,1.385,7684512241,8821926788,0.9943
2020-09-30,1.191,6840235066,6113238255,1.2773
2020-06-30,0.739,3829377656,1768934500,0.139
2020-03-31,1.0047,5186248023,1785116837,4.1833
2019-12-31,0.7807,3765097557,4423615424,-0.0928
2019-09-30,0.785,3835432070,2684390418,-0.3213
2019-06-30,0.9446,4367191784,1538382793,-0.1983
2019-03-31,0.8058,3837604143,330107363,-0.7382
2018-12-31,1.0233,4745568980,5194846772,-0.0806
2018-09-30,0.9676,4384418760,3630523521,-0.1858
2018-06-30,1.0695,4904790814,1918813073,-0.142
2018-03-31,1.1384,4935663438,1260796863,-0.1817
2017-12-31,1.2526,5202593866,5650043808,0.0188
2017-09-30,1.3579,5437708543,4453209970,0.1306
2017-06-30,1.1448,4288674948,2236389323,-0.2128
2017-03-31,1.1994,4530769389,1548020986,-0.167
2016-12-31,1.2158,4664797865,5545999257,-0.0382
2016-09-30,1.1074,4080584218,3938869687,-0.1512
2016-06-30,1.3727,5053469202,2840813149,0.2317
