date,长期负债合计,所有者权益合计,流动资产合计,资产合计,速动比率,有息负债率,资产负债率,流动比率,流动负债合计,负债合计
2026-03-31,131000000,49334442742,0,60288470662,2.3566,0.0036,0.1817,4.2202,5414927049,10954027920
2025-12-31,81000000,46893395478,0,58595944447,1.9622,0.003,0.1997,3.7651,7529047335,11702548969
2025-09-30,90000000,48661902826,0,59504597380,2.2365,0.0027,0.1822,4.0735,6423557442,10842694554
2025-06-30,90000000,49031491452,0,61263194595,2.1198,0.0026,0.1997,3.7435,5877828295,12231703143
2025-03-31,80000000,51817616568,0,64129803574,2.4068,0.0023,0.192,3.9754,7023970238,12312187006
2024-12-31,0,51693045854,0,67345265220,2.0034,0.0009,0.2324,3.2981,10343779848,15652219366
2024-09-30,0,53604351973,0,64161749190,2.8149,0.001,0.1645,4.6684,4965746582,10557397217
2024-06-30,0,52975317972,0,62718284542,3.0009,0.0011,0.1553,4.9608,3937678244,9742966569
2024-03-31,0,58099193548,0,72405328587,2.7334,0.0009,0.1976,3.9877,5815378078,14306135039
2023-12-31,0,52049863975,0,69792287456,1.9521,0.0011,0.2542,3.0586,11104763487,17742423481
2023-09-30,0,52248146024,0,64478322434,2.6264,0.0003,0.1897,4.0295,5516156341,12230176410
2023-06-30,0,49877823222,0,60562361679,2.6446,0.0004,0.1764,4.2776,5322623989,10684538457
2023-03-31,0,53348131588,0,67074207189,2.5314,0.0004,0.2046,3.7806,6974883207,13726075601
2022-12-31,0,47524448604,0,67964247134,1.6947,0.0004,0.3007,2.5849,13741547678,20439798531
2022-09-30,0,47152808056,0,61268105366,2.1045,0.0002,0.2304,3.3035,8172725110,14115297310
2022-06-30,0,44943508355,0,57439986856,2.0815,0.0003,0.2176,3.4053,7908473832,12496478501
2022-03-31,36360,47500291542,0,63811020350,1.9611,0.0003,0.2556,2.979,9765638217,16310728807
2021-12-31,36360,42481310258,0,67798704194,1.3323,0.0003,0.3734,2.012,15804521430,25317393936
2021-09-30,36360,42138857464,0,56250411827,1.7359,0,0.2509,2.8574,6510055892,14111554363
2021-06-30,36360,39641125388,0,55714705804,1.5947,0,0.2885,2.5566,5516827481,16073580416
2021-03-31,36360,42335737715,0,55769965523,1.9237,0,0.2409,3.0425,6128740727,13434227808
2020-12-31,36360,38469653077,0,53866259307,1.5266,0,0.2858,2.5406,8801346891,15396606230
2020-09-30,36360,38171275923,0,47903240006,1.9787,0,0.2032,3.4987,3869199029,9731964083
2020-06-30,36360,36726311321,0,46077958622,1.7853,0,0.203,3.3748,3947857426,9351647301
2020-03-31,36360,39990114884,0,52096174091,1.9393,0,0.2324,3.1332,6431512246,12106059207
2019-12-31,72723,36491552570,0,53455037841,1.4013,0,0.3173,2.2862,0,16963485271
2019-09-30,72723,36260051974,0,46296930035,1.8136,0,0.2168,3.2084,0,10036878062
2019-06-30,72723,34693487794,0,45285902343,1.7737,0,0.2339,3.0485,0,10592414549
2019-03-31,72723,37808836080,0,49691158148,1.9617,0,0.2391,3.0968,0,11882322069
2018-12-31,109088,33624518530,0,49563767816,1.4054,0,0.3216,2.2955,0,15939249286
2018-09-30,109088,32589077585,0,45178466367,1.3684,0,0.2787,2.4183,0,12589388782
2018-06-30,109088,30561452532,0,41304386432,1.2556,0,0.2601,2.4654,0,10742933899
2018-03-31,145452,32948341848,0,44363922274,1.5179,0,0.2573,2.6158,0,11415580426
2017-12-31,145452,29494869092,0,43258140702,1.1592,0,0.3182,2.1227,0,13763271610
2017-09-30,145452,28448800471,0,39553679652,1.2423,0,0.2808,2.3447,0,11104879182
2017-06-30,145452,26775660536,0,36067588503,1.1729,0,0.2576,2.4773,0,9291927968
2017-03-31,145452,28778991593,0,38823490363,1.4234,0,0.2587,2.5928,0,10044498770
2016-12-31,181816,26036985867,0,38804062250,1.048,0,0.329,2.0362,0,12767076382
2016-09-30,181816,25053839064,0,35340207212,1.1222,0,0.2911,2.2168,0,10286368148
2016-06-30,181816,23650349853,0,32414500987,1.0158,0,0.2704,2.3013,0,8764151134
