date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-08,88320998848.5,2.1055,0.0031,4.0290,3.0955,2.5037,2.2490,0.0265,4.6926,2.8498,2.5501,0.0526,16.8033,0.0031,32.7771,26.7621,21.8772
2026-06-05,87089857652.43,2.0761,0.0004,4.0290,3.0965,2.5040,2.2176,0.0155,4.7037,2.8526,2.5502,0.0533,16.5691,0.0004,32.7771,26.7588,21.9012
2026-06-04,86715162505.8,2.0672,0.0000,4.0290,3.0967,2.5042,2.2081,0.0119,4.7037,2.8529,2.5509,0.0535,16.4978,0.0000,32.7771,26.7605,21.9147
2026-06-03,87696506937.45,2.0906,0.0009,4.0290,3.0968,2.5044,2.2331,0.0208,4.7037,2.8532,2.5510,0.0529,16.6845,0.0009,32.7771,26.7621,21.9322
2026-06-02,88249628344.38,2.1038,0.0009,4.0290,3.0969,2.5046,2.2471,0.0243,4.7064,2.8570,2.5510,0.0526,16.7898,0.0009,32.7771,26.7621,21.9510
2026-06-01,88891962881.46,2.1191,0.0031,4.0290,3.0969,2.5046,2.2635,0.0296,4.7064,2.8574,2.5512,0.0522,16.9120,0.0022,32.7771,26.7621,21.9593
2026-05-29,89106074393.82,2.1242,0.0031,4.0290,3.0968,2.5050,2.2689,0.0323,4.7064,2.8580,2.5517,0.0521,16.9527,0.0022,32.7771,26.7588,21.9759
2026-05-28,87107700278.46,2.0765,0.0000,4.0290,3.0969,2.5051,2.2181,0.0150,4.7064,2.8586,2.5522,0.0533,16.5725,0.0000,32.7771,26.7605,21.9815
2026-05-27,88731379247.19,2.1153,0.0013,4.0290,3.0969,2.5054,2.2594,0.0279,4.7064,2.8592,2.5523,0.0523,16.8814,0.0009,32.7771,26.7621,21.9884
2026-05-26,87161228156.55,2.0778,0.0000,4.0290,3.0969,2.5054,2.2194,0.0150,4.7064,2.8619,2.5527,0.0533,16.5827,0.0000,32.7771,26.7621,22.0033
2026-05-25,88267470970.41,2.1042,0.0000,4.0290,3.0969,2.5057,2.2476,0.0235,4.7064,2.8620,2.5533,0.0526,16.7932,0.0000,32.7771,26.7621,22.0050
2026-05-22,88856277629.4,2.1182,0.0009,4.0290,3.0968,2.5063,2.2626,0.0274,4.7064,2.8647,2.5534,0.0522,16.9052,0.0000,32.7771,26.7588,22.0214
2026-05-21,89445084288.39,2.1323,0.0013,4.0290,3.0969,2.5064,2.2776,0.0332,4.7064,2.8647,2.5535,0.0519,17.0172,0.0000,32.7771,26.7605,22.0315
2026-05-20,90604854980.34,2.1599,0.0027,4.0290,3.0969,2.5065,2.3071,0.0478,4.7064,2.8647,2.5537,0.0512,17.2379,0.0004,32.7771,26.7621,22.0382
2026-05-19,90783281240.64,2.1642,0.0031,4.0290,3.0969,2.5067,2.3117,0.0500,4.7064,2.8651,2.5542,0.0511,17.2718,0.0013,32.7771,26.7621,22.0423
2026-05-18,90747595988.58,2.1633,0.0027,4.0290,3.0969,2.5073,2.3107,0.0491,4.7064,2.8661,2.5544,0.0512,17.2650,0.0009,32.7771,26.7621,22.0506
2026-05-15,90818966492.7,2.1650,0.0027,4.0290,3.0969,2.5074,2.3126,0.0495,4.7064,2.8681,2.5551,0.0511,17.2786,0.0009,32.7771,26.7588,22.0565
2026-05-14,91889524054.5,2.1905,0.0040,4.0290,3.0972,2.5078,2.3398,0.0544,4.7064,2.8695,2.5551,0.0505,17.4823,0.0022,32.7771,26.7605,22.0691
