date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率
2026-06-08,40057723842.06,12.4141,0.0128,20.4117,17.7207,14.8558,1.7992,0.0644,2.9971,2.5537,2.1906,1.2183,0.0004,2.8156,2.1335,1.8193,0.0432
2026-06-05,40290714342.18,12.4863,0.0169,20.4117,17.7375,14.8615,1.8097,0.0668,2.9971,2.5542,2.1906,1.2254,0.0004,2.8193,2.1344,1.8196,0.0430
2026-06-04,39824733341.94,12.3419,0.0103,20.4117,17.7378,14.8630,1.7888,0.0606,2.9971,2.5542,2.1906,1.2113,0.0000,2.8193,2.1344,1.8217,0.0435
2026-06-03,40357283056.5,12.5070,0.0190,20.4117,17.7380,14.8684,1.8127,0.0677,2.9971,2.5543,2.1915,1.2275,0.0008,2.8193,2.1344,1.8230,0.0429
2026-06-02,40906474949.64,12.6772,0.0314,20.4117,17.7389,14.8730,1.8374,0.0780,2.9971,2.5558,2.1946,1.2442,0.0029,2.8193,2.1355,1.8232,0.0423
2026-06-01,40806621878.16,12.6462,0.0289,20.4117,17.7404,14.8802,1.8329,0.0751,2.9971,2.5564,2.1946,1.2411,0.0021,2.8193,2.1356,1.8234,0.0424
2026-05-29,40690126628.1,12.6101,0.0264,20.4117,17.7431,14.8802,1.8276,0.0721,2.9971,2.5580,2.1946,1.2376,0.0016,2.8193,2.1366,1.8234,0.0425
2026-05-28,40290714342.18,12.4863,0.0165,20.4117,17.7463,14.8802,1.7333,0.0359,2.9971,2.5581,2.1964,1.2254,0.0000,2.8193,2.1366,1.8253,0.0430
2026-05-27,40823264056.74,12.6514,0.0285,20.4117,17.7494,14.8884,1.7562,0.0441,2.9971,2.5582,2.1983,1.2416,0.0012,2.8193,2.1366,1.8253,0.0424
2026-05-26,40290714342.18,12.4863,0.0165,20.4117,17.7494,14.8902,1.7333,0.0359,2.9971,2.5590,2.1984,1.2254,0.0000,2.8193,2.1370,1.8260,0.0430
2026-05-25,40606915735.2,12.5843,0.0223,20.4117,17.7609,14.8957,1.7469,0.0404,2.9971,2.5593,2.1997,1.2351,0.0000,2.8193,2.1373,1.8260,0.0426
2026-05-22,40673484449.52,12.6050,0.0239,20.4117,17.7633,14.8959,1.7497,0.0412,2.9971,2.5601,2.2008,1.2371,0.0000,2.8193,2.1375,1.8268,0.0426
2026-05-21,41022970199.7,12.7133,0.0305,20.4117,17.7667,14.9016,1.7648,0.0449,2.9971,2.5601,2.2011,1.2477,0.0004,2.8193,2.1385,1.8274,0.0422
2026-05-20,41089538914.02,12.7339,0.0305,20.4117,17.7701,14.9089,1.7676,0.0462,2.9971,2.5602,2.2013,1.2497,0.0004,2.8193,2.1396,1.8281,0.0421
2026-05-19,41505593378.52,12.8628,0.0413,20.4117,17.7701,14.9089,1.7855,0.0565,2.9971,2.5606,2.2029,1.2624,0.0008,2.8193,2.1410,1.8307,0.0417
2026-05-18,40923117128.22,12.6823,0.0289,20.4117,17.7716,14.9131,1.7605,0.0433,2.9971,2.5618,2.2062,1.2447,0.0000,2.8193,2.1425,1.8320,0.0423
