date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-06-08,142351542047.68,37.2434,0.9656,21.6540,17.3308,12.4117,0.0101,4.5143,0.9751,3.2690,2.4525,1.8534,7.2319,0.9780,4.5434,3.4770,2.9195
2026-06-05,147955933466.88,38.7097,0.9714,21.6348,17.3308,12.4210,0.0097,4.6921,0.9801,3.2665,2.4507,1.8543,7.5166,0.9826,4.5330,3.4758,2.9196
2026-06-04,153680418987.92,40.2074,0.9793,21.6155,17.3308,12.4210,0.0093,4.8736,0.9872,3.2638,2.4507,1.8543,7.8074,0.9901,4.5292,3.4751,2.9196
2026-06-03,151758913358.48,39.7047,0.9768,21.6155,17.3308,12.4117,0.0095,4.8127,0.9859,3.2638,2.4506,1.8534,7.7098,0.9871,4.5292,3.4743,2.9195
2026-06-02,155722018719.2,40.7415,0.9809,21.6044,17.3308,12.4117,0.0092,4.9383,0.9896,3.2615,2.4500,1.8534,7.9111,0.9925,4.5292,3.4730,2.9195
2026-06-01,153400199416.96,40.1341,0.9793,21.5963,17.3308,12.4117,0.0094,4.8647,0.9876,3.2613,2.4459,1.8534,7.7932,0.9900,4.5239,3.4730,2.9195
2026-05-29,168532056248.8,44.0930,0.9917,21.5861,17.3308,12.4210,0.0085,5.3446,0.9971,3.2594,2.4431,1.8543,8.5619,0.9979,4.5137,3.4697,2.9196
2026-05-28,174056384933.44,45.5383,0.9950,21.5771,17.3308,12.4210,0.0082,5.5198,0.9983,3.2594,2.4431,1.8543,8.8426,0.9988,4.5070,3.4695,2.9196
2026-05-27,158243994857.84,41.4013,0.9855,21.5771,17.3308,12.4117,0.0091,5.0183,0.9921,3.2594,2.4431,1.8534,8.0393,0.9954,4.5070,3.4692,2.9195
2026-05-26,165249484131.84,43.2342,0.9900,21.5751,17.3308,12.4117,0.0087,5.1181,0.9942,3.2593,2.4429,1.8534,8.3952,0.9979,4.5058,3.4688,2.9195
2026-05-25,157803649817.76,41.2861,0.9859,21.5647,17.3308,12.4117,0.0091,4.8875,0.9900,3.2559,2.4403,1.8534,8.0169,0.9959,4.5037,3.4684,2.9195
2026-05-22,153520293518.8,40.1655,0.9818,21.5408,17.3308,12.4210,0.0093,4.7548,0.9872,3.2556,2.4340,1.8543,7.7993,0.9925,4.5002,3.4660,2.9196
2026-05-21,142191416578.56,37.2015,0.9702,21.5408,17.3308,12.4210,0.0101,4.4039,0.9739,3.2526,2.4335,1.8543,7.2237,0.9826,4.4972,3.4660,2.9196
2026-05-20,140550130520.08,36.7721,0.9701,21.5408,17.3308,12.4117,0.0102,4.3531,0.9726,3.2526,2.4330,1.8534,7.1404,0.9805,4.4972,3.4660,2.9195
2026-05-19,139709471807.2,36.5522,0.9701,21.5386,17.3308,12.4117,0.0103,4.3271,0.9710,3.2518,2.4326,1.8534,7.0977,0.9797,4.4967,3.4657,2.9195
2026-05-18,136667087893.92,35.7562,0.9693,21.5142,17.3308,12.4117,0.0105,4.2328,0.9627,3.2518,2.4305,1.8534,6.9431,0.9776,4.4896,3.4651,2.9195
2026-05-15,135546209610.08,35.4629,0.9685,21.5001,17.3308,12.4210,0.0106,4.1981,0.9602,3.2501,2.4300,1.8543,6.8862,0.9772,4.4815,3.4633,2.9196
2026-05-14,150598003707.36,39.4009,0.9789,21.4954,17.3308,12.4210,0.0095,4.6643,0.9834,3.2501,2.4291,1.8543,7.6508,0.9892,4.4802,3.4618,2.9196
2026-05-13,152519509336.8,39.9036,0.9818,21.4954,17.3308,12.4117,0.0094,4.7238,0.9867,3.2501,2.4282,1.8534,7.7484,0.9925,4.4802,3.4604,2.9195
2026-05-12,151398631052.96,39.6104,0.9801,21.4763,17.3308,12.4117,0.0095,4.6891,0.9847,3.2499,2.4275,1.8534,7.6915,0.9905,4.4793,3.4604,2.9195
2026-05-11,152159227031.28,39.8094,0.9818,21.4198,17.3308,12.4117,0.0094,4.7127,0.9863,3.2490,2.4275,1.8534,7.7301,0.9921,4.4785,3.4591,2.9195
2026-05-08,152119195664.0,39.7989,0.9818,21.3896,17.3308,12.4210,0.0094,4.7114,0.9863,3.2479,2.4242,1.8543,7.7281,0.9921,4.4654,3.4560,2.9196
2026-05-07,151838976093.04,39.7256,0.9818,21.3846,17.3308,12.4210,0.0094,4.7027,0.9863,3.2479,2.4242,1.8543,7.7139,0.9921,4.4651,3.4560,2.9196
