date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.3193,0.7496,1267151599,5281938122
2025-12-31,0.8213,0.3449,3285461019,18880860110
2025-09-30,0.6415,0.6749,2568142561,13904196237
2025-06-30,0.4214,0.7551,1687049316,9109103240
2025-03-31,0.1825,1.0857,730417877,4478911753
2024-12-31,0.6107,-0.197,2444813279,15855766998
2024-09-30,0.383,-0.4266,1533153975,11632158703
2024-06-30,0.2401,-0.5341,961241598,7738980640
2024-03-31,0.0875,-0.6197,350293848,3382461404
2023-12-31,0.7605,-0.5394,3044441957,14875802392
2023-09-30,0.668,-0.5153,2673913733,11425481366
2023-06-30,0.5154,-0.5095,2063034637,7829543672
2023-03-31,0.2301,-0.4984,921110923,3671172469
2022-12-31,1.6512,0.0965,6610015912,20192222965
2022-09-30,1.3782,0.2817,5517300311,16102342868
2022-06-30,1.0507,0.6197,4206126003,11909682323
2022-03-31,0.4587,0.7264,1836322239,5132770833
2021-12-31,1.5059,1.4949,6028473747,19706882080
2021-09-30,1.0753,2.3635,4304557909,13836296678
2021-06-30,0.6487,2.407,2597026532,8560338835
2021-03-31,0.3036,2.4344,1063454546,3996134198
2020-12-31,0.6899,0.1351,2416110989,11666196819
2020-09-30,0.3654,-0.1737,1279607588,7875547039
2020-06-30,0.2177,-0.2765,762295799,4891587117
2020-03-31,0.0884,-0.3792,309543704,2442256401
2019-12-31,0.6078,-0.1033,2128865280,10493293116
2019-09-30,0.4422,-0.1903,1548717494,7738366006
2019-06-30,0.3009,-0.1683,1053794168,5062384259
2019-03-31,0.1424,-0.1914,498825271,2496328836
2018-12-31,0.6778,0.1043,2373978330,10032423279
2018-09-30,0.5461,0.2327,1912435622,7629350441
2018-06-30,0.3618,0.2593,1267070840,5017869519
2018-03-31,0.2114,0.3122,616900951,2494844789
2017-12-31,0.7366,0.4133,2149849387,8651549179
2017-09-30,0.5316,0.3589,1551536337,6439317650
2017-06-30,0.3448,0.3206,1006317173,4077468447
2017-03-31,0.1934,0.3076,470315793,1859506018
2016-12-31,0.6254,0.5473,1521035121,7446333674
2016-09-30,0.4695,0.4919,1141819110,5519435167
2016-06-30,0.3133,0.5831,761898435,3716358880
