date,净资产收益率(ROE),总资产收益率(ROA),净利润率
2026-03-31,0.1412,0.0301,0.0871
2025-12-31,0.1601,0.0332,0.0942
2025-09-30,0.1832,0.0399,0.1079
2025-06-30,0.1721,0.0358,0.0968
2025-03-31,0.1759,0.0375,0.0988
2024-12-31,0.1655,0.0348,0.093
2024-09-30,0.1519,0.0327,0.0869
2024-06-30,0.1045,0.0224,0.0623
2024-03-31,0.0824,0.0182,0.0496
2023-12-31,0.0995,0.0205,0.0569
2023-09-30,0.0922,0.0192,0.0517
2023-06-30,0.1157,0.0243,0.0642
2023-03-31,0.1226,0.0263,0.0669
2022-12-31,0.1149,0.0238,0.0553
2022-09-30,0.1187,0.0244,0.0558
2022-06-30,0.1097,0.0226,0.0517
2022-03-31,0.1017,0.0209,0.0474
2021-12-31,0.1074,0.0233,0.0512
2021-09-30,0.1118,0.0237,0.0532
2021-06-30,0.1243,0.026,0.0577
2021-03-31,0.1206,0.0253,0.0548
2020-12-31,0.1088,0.0237,0.0484
2020-09-30,0.1094,0.023,0.0475
2020-06-30,0.1132,0.0233,0.0481
2020-03-31,0.1394,0.0292,0.0596
2019-12-31,0.1402,0.0293,0.0571
2019-09-30,0.1469,0.0294,0.0604
2019-06-30,,,0.0522
2019-03-31,0.0967,0.0194,0.0394
2018-12-31,0.0996,0.0193,0.0387
2018-09-30,,,0.0399
2018-06-30,,,
2018-03-31,,,
2017-12-31,0.1335,0.0248,0.0487
2017-09-30,,,
2016-12-31,0.1275,0.0234,0.0468
