date,总资产收益率(ROA),净利润率,净资产收益率(ROE)
2026-03-31,0.0072,0.3352,0.0853
2025-12-31,0.0073,0.3365,0.0864
2025-09-30,0.0074,0.3423,0.0852
2025-06-30,0.0075,0.3359,0.0857
2025-03-31,0.0074,0.3301,0.0867
2024-12-31,0.0075,0.3252,0.0901
2024-09-30,0.0075,0.3225,0.088
2024-06-30,0.0075,0.3221,0.0881
2024-03-31,0.0076,0.3265,0.0913
2023-12-31,0.0077,0.3306,0.0958
2023-09-30,0.0077,0.3257,0.0963
2023-06-30,0.0078,0.319,0.0972
2023-03-31,0.0076,0.3107,0.0952
2022-12-31,0.0076,0.2978,0.0948
2022-09-30,0.0075,0.2943,0.0942
2022-06-30,0.0074,0.2885,0.0937
2022-03-31,0.0073,0.281,0.0943
2021-12-31,0.0072,0.2756,0.0938
2021-09-30,0.0072,0.2716,0.0922
2021-06-30,0.0071,0.2675,0.0912
2021-03-31,0.0069,0.2604,0.0901
2020-12-31,0.0069,0.2544,0.0907
2020-09-30,0.0065,0.2306,0.0865
2020-06-30,0.0068,0.2348,0.0906
2020-03-31,0.0076,0.2616,0.0981
2019-12-31,0.0076,0.2612,0.0994
2019-09-30,0.008,0.2661,0.1071
2019-06-30,0.0079,0.2715,0.1073
2019-03-31,0.0078,0.2685,0.1042
2018-12-31,0.0077,0.2752,0.1049
2018-09-30,0.008,0.2792,0.1084
2018-06-30,0.0078,0.2785,0.11
2018-03-31,0.0077,0.2769,0.1081
2017-12-31,0.0074,0.2736,0.1076
2017-09-30,0.0076,0.2735,0.1124
2017-06-30,0.0075,0.2778,0.1167
2017-03-31,0.0075,0.2778,0.116
2016-12-31,0.0076,0.2717,0.1187
2016-09-30,0.0084,0.2806,0.1334
2016-06-30,0.0083,0.2769,0.1363
