date,净资产收益率(ROE),总资产收益率(ROA),净利润率
2026-03-31,0.0548,0.0044,0.2917
2025-12-31,0.0546,0.0044,0.2959
2025-09-30,0.0709,0.0059,0.3775
2025-06-30,0.0729,0.0061,0.3735
2025-03-31,0.0733,0.0061,0.3705
2024-12-31,0.0754,0.0065,0.3703
2024-09-30,0.0768,0.0068,0.3794
2024-06-30,0.0791,0.0069,0.3782
2024-03-31,0.0796,0.0071,0.3835
2023-12-31,0.0806,0.0072,0.3857
2023-09-30,0.0813,0.0075,0.3987
2023-06-30,0.0823,0.0075,0.3891
2023-03-31,0.0807,0.0076,0.3855
2022-12-31,0.082,0.0077,0.3762
2022-09-30,0.0868,0.0075,0.347
2022-06-30,0.0881,0.0075,0.3494
2022-03-31,0.0859,0.0074,0.3429
2021-12-31,0.0864,0.0075,0.3379
2021-09-30,0.1037,0.0079,0.3533
2021-06-30,0.1033,0.0077,0.3525
2021-03-31,0.0982,0.0075,0.343
2020-12-31,0.1007,0.0077,0.3366
2020-09-30,0.0954,0.0072,0.3176
2020-06-30,0.0981,0.0073,0.3185
2020-03-31,0.1054,0.0081,0.3429
2019-12-31,0.1071,0.0081,0.342
2019-09-30,0.1097,0.0083,0.3466
2019-06-30,0.1105,0.0082,0.3481
2019-03-31,0.1082,0.0082,0.3523
2018-12-31,0.1086,0.0082,0.3629
2018-09-30,0.1161,0.0083,0.3788
2018-06-30,0.1176,0.0083,0.383
2018-03-31,0.1157,0.0084,0.3807
2017-12-31,0.1178,0.0085,0.375
2017-09-30,0.1247,0.0086,0.3705
2017-06-30,0.1339,0.0087,0.3733
2017-03-31,0.1338,0.0089,0.3745
2016-12-31,0.1376,0.009,0.3777
2016-09-30,0.1414,0.0093,0.3743
2016-06-30,0.1529,0.0097,0.3705
