date,营业收入,累积同比,归属于母公司普通股股东的净利润,基本每股收益
2026-03-31,9564242922,0.0752,721291973,0.09
2025-12-31,66228963223,0.1453,8278971723,1.04
2025-09-30,38576507203,0.1845,4855280899,0.61
2025-06-30,24243208440,0.1954,2952191275,0.37
2025-03-31,8895111236,0.1476,680191941,0.09
2024-12-31,57417254947,0.1115,7610121307,0.95
2024-09-30,32313324082,0.1297,4472787897,0.56
2024-06-30,20114140751,0.1002,2709175695,0.34
2024-03-31,7698604339,0.2425,595659762,0.07
2023-12-31,51573303989,0.1013,7183687345,0.9
2023-09-30,28567426528,0.1152,4160827567,0.52
2023-06-30,18249970838,0.1181,2499336567,0.31
2023-03-31,6195037934,0.0765,525713864,0.08
2022-12-31,46828962927,0.1042,6446181151,0.97
2022-09-30,25616291200,0.1026,3655454226,0.55
2022-06-30,16322522234,0.1026,2110386857,0.32
2022-03-31,5754792013,0.1695,379084849,0.07
2021-12-31,42411007392,0.1015,5642448312,1.02
2021-09-30,23231593867,0.1559,3192845375,0.57
2021-06-30,14803960399,0.2181,1843741793,0.33
2021-03-31,4920653095,0.2702,201243906,0.04
2020-12-31,38502411144,0.1875,4851540712,1.06
2020-09-30,20097801384,0.1699,2548693460,0.55
2020-06-30,12153617106,0.1115,1376542207,0.3
2020-03-31,3873977117,0.0327,75776249,0.02
2019-12-31,32423594529,0.1361,4343067281,0.94
2019-09-30,17179710168,0.0012,2146382977,0.47
2019-06-30,10934163713,0.0357,1201296984,0.26
2019-03-31,3751298070,-0.0241,76563569,0.02
2018-12-31,28540370796,0.1796,4162074562,0.93
2018-09-30,17159948785,0.2523,2315981588,0.52
2018-06-30,10557607121,0.2009,1352306718,0.31
2018-03-31,3843922903,0.1986,94301406,0.02
2017-12-31,24197908118,-0.1434,3240522727,0.79
2017-09-30,7161987310,0.0749,860665130,0.35
2017-06-30,4175965381,0.1003,349579781,0.14
2017-03-31,1420791140,0.0129,17861455,0.01
2016-12-31,11415282982,0.1754,1447176547,0.6
2016-09-30,6635333030,0.4488,767734807,0.32
2016-06-30,3774933159,0.3486,280518917,0.12
