date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,1.2098,1008385747,1148597788,0.088
2025-12-31,1.2272,846677677,5213226878,0.1645
2025-09-30,1.203,581516061,3381768566,0.1323
2025-06-30,1.1578,764264821,2134000494,0.119
2025-03-31,1.2583,799908891,1055679878,0.1508
2024-12-31,1.2746,524599043,4476981262,0.3113
2024-09-30,1.4274,33644695,2986637355,0.2133
2024-06-30,1.4633,-961539222,1907003898,0.0536
2024-03-31,1.3472,-1421846055,917312105,0.0505
2023-12-31,1.1793,-1913478247,3414217064,-0.1905
2023-09-30,0.9201,-2150333113,2461640487,-0.217
2023-06-30,1.0189,-2022446959,1810008135,0.0063
2023-03-31,0.9565,-1810420043,873244036,0.0206
2022-12-31,1.0684,-1564138316,4217570893,0.071
2022-09-30,1.0684,-1698325095,3173702942,0.0524
2022-06-30,0.9915,-1037010741,1820371002,0.0666
2022-03-31,0.8763,-971433514,865594441,0.1749
2021-12-31,0.7917,-926741553,3948747009,0.5307
2021-09-30,0.6132,-1427565414,3015778289,0.2294
2021-06-30,0.5905,-1972059463,1706641223,0.1679
2021-03-31,0.6871,-1739206163,736760723,0.9262
2020-12-31,0.6548,-1848463530,2579774350,-0.1994
2020-09-30,0.829,-1016282468,2453135520,0.0536
2020-06-30,0.8435,-578297268,1461297357,0.0077
2020-03-31,0.9027,-516912846,382496483,-0.0629
2019-12-31,0.8608,-705666690,3222412571,0.0923
2019-09-30,1.0173,-394067770,2328355784,0.1152
2019-06-30,1.0064,-843698316,1450187550,0.134
2019-03-31,0.9537,-847935129,408188793,-0.124
2018-12-31,0.9769,-195627242,2950105213,0.1434
2018-09-30,0.9298,1544391,2087826459,0.2115
2018-06-30,0.8112,387238448,1278792638,0.1588
2018-03-31,0.7371,325935126,465995276,0.1584
2017-12-31,0.7197,509784559,2580225776,0.2228
2017-09-30,0.6703,93678803,1723341850,0.1312
2017-06-30,0.67,397187444,1103566358,0.179
2017-03-31,0.6458,358131258,402267778,0.0478
2016-12-31,0.655,249884898,2110039265,0.3017
2016-09-30,0.6144,335789056,1523486173,0.3111
2016-06-30,0.6057,277747162,936053570,0.3817
