folder,stock,name,category,industry,industry_l2
01_新华保险,601336,新华保险,insurance,非银金融,保险
02_三美股份,603379,三美股份,non_financial,基础化工,化学制品
03_蜜雪集团,02097,蜜雪集团,hk,食品饮料,软饮料
05_中国中车,601766,中国中车,non_financial,机械设备,轨交设备
06_贵州茅台,600519,贵州茅台,non_financial,食品饮料,白酒
07_美的集团,000333,美的集团,non_financial,家用电器,白色家电
08_立讯精密,002475,立讯精密,non_financial,电子,消费电子
09_三花智控,002050,三花智控,non_financial,家用电器,家电零部件
10_比亚迪,002594,比亚迪,non_financial,汽车,乘用车
11_五粮液,000858,五粮液,non_financial,食品饮料,白酒
12_招商银行,600036,招商银行,bank,银行,股份制银行
13_伊利股份,600887,伊利股份,non_financial,食品饮料,饮料乳品
14_中际旭创,300308,中际旭创,non_financial,通信,通信设备
15_恒瑞医药,600276,恒瑞医药,non_financial,医药生物,化学制药
16_宁德时代,300750,宁德时代,non_financial,电力设备,电池
