stock,name,industry,industry_l2,lynch_class,tier,kondratieff,early_cycle_role,note
600585,海螺水泥,建筑材料,水泥,cyclical,C,复苏期基建链先行,基建链先行(水泥定价权),"水泥龙头,PB<1 深度价值"
600031,三一重工,机械设备,工程机械,cyclical,B,复苏期受益基建,基建链早周期,"工程机械龙头,海外+电动化"
000425,徐工机械,机械设备,工程机械,cyclical,C,复苏期受益基建,基建链早周期,"起重机/挖机龙头,与三一互补"
601899,紫金矿业,有色金属,工业金属/黄金,cyclical,C,复苏期商品反转 + 黄金链,商品反转 + 黄金链共振,铜+金+锂多金属龙头
603993,洛阳钼业,有色金属,工业金属,cyclical,C,复苏期商品反转,商品周期反转,"铜+钴+钼,全球矿业新势力"
601919,中远海控,交通运输,航运港口,cyclical,C,复苏期全球贸易反转,外需早周期,集运全球前三 + 红海地缘溢价
600309,万华化学,基础化工,化学制品,cyclical,B,萧条期回避/复苏期反转,反转股(萧条→复苏切换最敏感),MDI 全球第一
000625,长安汽车,汽车,乘用车,cyclical,A,萧条期回避/复苏期反转,反转股(萧条→复苏切换最敏感),新能源+自主品牌转型
601127,赛力斯,汽车,乘用车,cyclical,A,萧条期回避/复苏期反转,反转股(萧条→复苏切换最敏感),华为合作问界系列
600030,中信证券,非银金融,证券,cyclical,C,牛市早周期,金融早周期(行情温度计),"券商一哥,行情温度计"
